"","District Name","District Code","Attendance Rate","Graduation Rate","Dropout Rate","SAT Reading Writing Score","SAT Math Score","Student Teacher Ratio","Percent of Teachers Licensed","Percent of Experienced Teachers","City"
"150","Scituate",2640000,94.9,95.4,0.4,571,552,11.6,100,92.5,"Scituate"
"151","Sharon",2660000,94.9,97.2,0.2,634,652,12.6,99.6,87.6,"Sharon"
"152","Shawsheen Valley Regional Vocational Technical",8710000,94.9,99.3,0.2,527,506,9.9,97,90.1,"Billerica"
"153","Sherborn",2690000,94.8,NA,NA,NA,NA,11.7,100,89.8,"Dover"
"154","Silver Lake",7600000,93.4,96.2,0.2,557,551,12.4,100,91.4,"Kingston"
"155","Somerville",2740000,92.5,85.9,2,577,567,11.2,99.1,79.2,"Somerville"
"156","South Middlesex Regional Vocational Technical",8290000,93.9,90.9,1.3,562,534,9.5,96.7,81.9,"Framingham"
"157","South Shore Charter Public (District)",4880000,93.9,96.2,0.3,524,500,22.7,85.4,79.2,"Norwell"
"158","South Shore Regional Vocational Technical",8730000,94.5,97.4,0.8,546,521,10.4,98.4,77.2,"Hanover"
"159","Southborough",2760000,93.9,NA,NA,NA,NA,11.9,99.5,95,"Southborough"
"160","Stoneham",2840000,93.9,92.8,1.1,542,526,10.8,100,81.8,"Stoneham"
"161","Stoughton",2850000,94.1,90,2.1,564,557,11.5,99.7,81.7,"Stoughton"
"162","Sudbury",2880000,95.6,NA,NA,NA,NA,11.1,95.6,87.3,"Sudbury"
"163","Swampscott",2910000,93.6,92,1.6,601,585,11,98.9,86.9,"Swampscott"
"164","Taunton",2930000,92.5,89.7,2.6,514,489,14.4,99.8,82.5,"Taunton"
"165","Tewksbury",2950000,94.6,94.1,1.2,583,568,12.6,100,88.5,"Tewksbury"
"166","Topsfield",2980000,95.3,NA,NA,NA,NA,11.2,100,88.7,"Boxford"
"167","Tri-County Regional Vocational Technical",8780000,94.5,98.6,0.1,538,516,11.2,98.8,83.6,"Franklin"
"168","Tyngsborough",3010000,94.4,92.8,0.2,563,585,12.2,100,88.8,"Tyngsborough"
"169","UP Academy Charter School of Boston (District)",4800000,89.3,NA,NA,NA,NA,5.2,93.8,68.8,"Boston"
"170","UP Academy Charter School of Dorchester (District)",35050000,92.8,NA,NA,NA,NA,10.4,81.1,43.2,"Boston"
"171","Wakefield",3050000,95.2,96.1,0.7,573,549,11.7,100,85,"Wakefield"
"172","Walpole",3070000,95,92.3,0.5,579,565,11.9,99.7,84,"Walpole"
"173","Waltham",3080000,93.1,79.7,4.4,550,538,10.3,99.8,81.8,"Waltham"
"174","Watertown",3140000,93.6,84.9,1.8,561,574,10.2,96.8,81.4,"Watertown"
"175","Wayland",3150000,95.4,99.5,0,643,652,11.4,99.1,92.4,"Wayland"
"176","Wellesley",3170000,95.4,96.7,0.1,645,649,10.5,100,88.6,"Wellesley"
"177","West Bridgewater",3230000,94.3,95.1,0.7,568,546,13.6,100,84.3,"West Bridgewater"
"178","Westford",3260000,93.9,96.8,0.3,622,631,12.1,98,89.9,"Westford"
"179","Weston",3300000,96.6,95,0.6,656,672,11.7,99.3,89,"Weston"
"180","Westwood",3350000,95.7,98.4,0,597,597,12.1,99.6,88.5,"Westwood"
"181","Weymouth",3360000,93.1,88.3,3.3,547,528,12.3,99.6,84.8,"Weymouth"
"182","Whitman-Hanson",7800000,94.7,92,1.5,558,537,13.7,100,85.6,"Whitman"
"183","Whittier Regional Vocational Technical",8850000,94.7,99.1,0,539,515,10.3,97.6,87.2,"Haverhill"
"184","Wilmington",3420000,94.8,93.1,0.3,580,576,10.5,100,86.7,"Wilmington"
"185","Winchester",3440000,95.2,94.1,1.2,647,656,12.6,100,88.3,"Winchester"
"186","Winthrop",3460000,93.8,92.6,1.5,545,552,12.5,97.3,70.8,"Winthrop"
"187","Woburn",3470000,93.3,89.7,1.8,562,549,11.5,99,85.4,"Woburn"
"188","Wrentham",3500000,94.4,NA,NA,NA,NA,12.3,100,87,"Wrentham"
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ashby"
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boxborough"
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunstable"
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Easton"
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Essex"
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Groveland"
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halifax"
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hamilton"
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hanson"
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merrimac"
"199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Middleton"
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Newbury"
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Newton"
"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pepperell"
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plympton"
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raynham"
"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rowley"
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salisbury"
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sherborn"
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shirley"
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stow"
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Topsfield"
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Townsend"
