District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,End of School Year
Essex North Shore Agricultural and Technical School District,8170000,     142.7,94.4,  11.6 to 1,79.1,77.4,93.1,2022
Everett,930000,     550.1,99.8,  12.4 to 1,79.5,92.1,95.5,2022
Excel Academy Charter (District),4100000,     127.2,72.0,  10.7 to 1,45.8,89.0,44.3,2022
Fairhaven,940000,     147.0,99.8,  12.6 to 1,87.0,96.3,94.4,2022
Fall River,950000,     764.3,98.1,  13.4 to 1,73.3,88.1,91.7,2022
Falmouth,960000,     288.7,99.6,  10.5 to 1,85.7,94.2,95.2,2022
Farmington River Reg,6620000,      13.8,100.0,   8.4 to 1,88.4,100.0,100.0,2022
Fitchburg,970000,     385.5,99.5,  13.5 to 1,81.6,91.4,97.1,2022
Florida,980000,       9.7,89.6,  10.8 to 1,89.6,87.0,90.9,2022
Four Rivers Charter Public (District),4130000,      20.9,76.4,  10.4 to 1,85.9,95.2,58.1,2022
Foxborough,990000,     199.2,99.0,  12.3 to 1,92.4,99.0,96.3,2022
Foxborough Regional Charter (District),4460000,     136.1,92.5,  12.4 to 1,60.1,81.1,89.7,2022
Framingham,1000000,     734.0,95.8,  12.0 to 1,76.9,93.8,88.7,2022
Francis W. Parker Charter Essential (District),4780000,      45.5,59.4,   8.5 to 1,58.3,97.8,66.0,2022
Franklin,1010000,     398.6,98.6,  12.0 to 1,84.4,96.0,97.6,2022
Franklin County Regional Vocational Technical,8180000,      59.4,88.6,   9.8 to 1,80.0,85.5,83.9,2022
Freetown-Lakeville,6650000,     203.9,100.0,  13.5 to 1,87.3,95.1,98.6,2022
Frontier,6700000,      52.3,98.1,  11.7 to 1,84.6,92.4,91.5,2022
Gardner,1030000,     183.4,99.7,  12.3 to 1,82.3,90.8,94.1,2022
Gateway,6720000,      81.5,98.8,   9.0 to 1,88.7,95.1,89.4,2022
Georgetown,1050000,     101.0,100.0,  12.6 to 1,92.1,95.0,98.1,2022
Gill-Montague,6740000,      85.5,99.9,   9.9 to 1,88.7,90.6,94.9,2022
Global Learning Charter Public (District),4960000,      44.6,100.0,  11.3 to 1,79.8,84.3,96.0,2022
Gloucester,1070000,     261.5,99.6,  10.8 to 1,80.4,91.3,98.5,2022
Gosnold,1090000,       0.0,0.0,,,,,2022
Grafton,1100000,     246.3,99.6,  12.7 to 1,88.6,96.8,95.1,2022
Granby,1110000,      60.0,100.0,  11.6 to 1,84.6,91.3,90.8,2022
Greater Commonwealth Virtual District,39010000,      66.6,98.5,  15.5 to 1,80.3,91.4,90.5,2022
Greater Fall River Regional Vocational Technical,8210000,     128.8,97.3,  11.0 to 1,90.7,84.5,92.4,2022
Greater Lawrence Regional Vocational Technical,8230000,     147.4,96.1,  11.2 to 1,83.3,78.6,91.3,2022
Greater Lowell Regional Vocational Technical,8280000,     200.4,99.0,  11.5 to 1,84.1,84.1,96.0,2022
Greater New Bedford Regional Vocational Technical,8250000,     195.1,97.9,  10.8 to 1,93.3,91.3,92.9,2022
Greenfield,1140000,     141.0,99.3,  11.4 to 1,73.8,93.6,96.8,2022
Groton-Dunstable,6730000,     190.1,100.0,  12.2 to 1,87.1,96.3,97.0,2022
Hadley,1170000,      49.2,100.0,  10.3 to 1,85.7,87.8,98.1,2022
Halifax,1180000,      38.0,100.0,  14.8 to 1,92.1,100.0,100.0,2022
Hamilton-Wenham,6750000,     149.9,100.0,  11.2 to 1,85.0,97.6,95.7,2022
Hampden Charter School of Science East (District),4990000,      42.8,77.4,  12.9 to 1,74.0,72.0,65.5,2022
Hampden Charter School of Science West (District),35160000,      31.5,75.2,  11.7 to 1,54.6,64.4,65.0,2022
Hampden-Wilbraham,6800000,     213.8,100.0,  13.5 to 1,90.0,98.6,98.7,2022
Hampshire,6830000,      75.2,100.0,   9.1 to 1,91.4,96.9,98.7,2022
Hancock,1210000,       7.4,94.6,   7.7 to 1,83.8,86.5,63.6,2022
Hanover,1220000,     195.3,99.2,  13.3 to 1,90.6,96.7,97.2,2022
Harvard,1250000,      88.5,98.9,  11.6 to 1,87.6,96.6,91.6,2022
Hatfield,1270000,      41.8,100.0,   9.4 to 1,90.2,92.8,97.8,2022
Haverhill,1280000,     630.6,99.2,  12.3 to 1,78.9,93.3,98.2,2022
Hawlemont,6850000,       9.4,89.3,  13.1 to 1,78.7,90.4,83.3,2022
Helen Y. Davis Leadership Academy Charter Public (District),4190000,      20.2,49.5,   6.8 to 1,29.7,90.1,52.4,2022
Hill View Montessori Charter Public (District),4550000,      23.0,69.6,  13.3 to 1,56.5,91.3,61.9,2022
Hilltown Cooperative Charter Public (District),4500000,      21.1,84.5,  10.3 to 1,69.2,100.0,68.0,2022
Hingham,1310000,     319.7,99.4,  12.1 to 1,91.3,96.9,97.8,2022
Holbrook,1330000,      93.7,100.0,  13.7 to 1,89.3,94.7,99.0,2022
Holland,1350000,      16.5,100.0,  13.7 to 1,91.5,100.0,100.0,2022
Holliston,1360000,     217.1,99.1,  12.9 to 1,84.9,96.0,98.2,2022
Holyoke,1370000,     447.0,93.0,  11.4 to 1,56.2,90.8,85.2,2022
Holyoke Community Charter (District),4530000,      43.5,70.1,  15.0 to 1,58.6,83.9,46.8,2022
Hoosac Valley Regional,6030000,      87.5,95.4,  11.5 to 1,82.9,95.4,91.2,2022
Hopedale,1380000,      93.7,100.0,  11.9 to 1,79.0,93.6,92.2,2022
Hopkinton,1390000,     286.9,100.0,  14.0 to 1,86.6,95.7,96.8,2022
Hudson,1410000,     229.0,97.4,  10.2 to 1,88.6,98.3,95.5,2022
Hull,1420000,      78.2,100.0,  10.3 to 1,90.8,96.2,97.6,2022
Innovation Academy Charter (District),4350000,      67.3,88.3,  11.5 to 1,73.2,83.0,77.2,2022
Ipswich,1440000,     157.0,98.7,  10.4 to 1,87.8,96.8,95.3,2022
KIPP Academy Boston Charter School (District),4630000,      48.5,63.9,  12.4 to 1,35.1,85.6,34.7,2022
KIPP Academy Lynn Charter (District),4290000,     110.2,59.8,  14.6 to 1,37.6,89.8,34.4,2022
King Philip,6900000,     135.1,97.8,  13.9 to 1,81.6,95.6,94.2,2022
Kingston,1450000,      68.6,100.0,  15.3 to 1,95.6,100.0,100.0,2022
Lawrence,1490000,"   1,123.8",97.4,  11.4 to 1,72.1,87.2,89.9,2022
Lawrence Family Development Charter (District),4540000,      58.0,100.0,  13.7 to 1,55.2,94.8,92.2,2022
Learning First Charter Public School (District),4860000,      39.7,95.0,  16.9 to 1,62.2,81.5,82.5,2022
Lee,1500000,      72.5,100.0,   9.1 to 1,94.5,91.7,93.2,2022
Leicester,1510000,     100.1,100.0,  13.9 to 1,93.0,98.0,96.3,2022
Lenox,1520000,      79.1,100.0,   9.1 to 1,94.8,98.5,93.7,2022
Leominster,1530000,     430.7,97.3,  13.7 to 1,83.5,93.6,93.5,2022
Leverett,1540000,      14.9,100.0,   9.6 to 1,100.0,93.3,100.0,2022
Lexington,1550000,     614.5,99.8,  11.0 to 1,88.1,96.8,97.6,2022
Libertas Academy Charter School (District),35140000,      42.8,85.5,   7.8 to 1,9.8,90.7,55.1,2022
Lincoln,1570000,     122.7,100.0,   8.7 to 1,85.7,96.7,97.7,2022
Lincoln-Sudbury,6950000,     125.1,99.2,  12.1 to 1,92.2,95.4,97.2,2022
Littleton,1580000,     119.0,100.0,  13.8 to 1,83.3,93.4,98.4,2022
Longmeadow,1590000,     252.8,99.8,  11.0 to 1,90.5,97.6,96.6,2022
Lowell,1600000,"   1,089.7",97.8,  12.8 to 1,86.1,91.3,92.0,2022
Lowell Community Charter Public (District),4560000,      64.0,98.4,  12.8 to 1,73.4,85.9,98.4,2022
Lowell Middlesex Academy Charter (District),4580000,       5.0,100.0,  14.8 to 1,100.0,60.0,57.1,2022
Ludlow,1610000,     224.4,99.6,  10.2 to 1,92.4,97.3,96.5,2022
Lunenburg,1620000,     111.3,98.2,  14.3 to 1,90.1,97.3,92.4,2022
Lynn,1630000,"   1,200.1",99.0,  13.1 to 1,78.4,90.2,97.2,2022
Lynnfield,1640000,     159.5,100.0,  13.6 to 1,86.5,98.5,96.6,2022
MATCH Charter Public School (District),4690000,     124.5,77.2,   9.8 to 1,39.8,89.0,51.1,2022
Ma Academy for Math and Science,4680000,       6.0,100.0,  15.2 to 1,83.3,83.3,100.0,2022
Malden,1650000,     491.6,99.8,  12.4 to 1,79.8,92.0,97.2,2022
Manchester Essex Regional,6980000,     128.9,100.0,   9.7 to 1,90.8,95.2,96.3,2022
Mansfield,1670000,     301.4,100.0,  11.4 to 1,89.1,98.7,100.0,2022
Map Academy Charter School (District),35170000,      25.2,95.0,   8.8 to 1,35.7,64.3,79.2,2022
Marblehead,1680000,     251.6,99.6,  10.3 to 1,88.7,94.8,97.3,2022
Marblehead Community Charter Public (District),4640000,      21.0,95.2,  10.7 to 1,57.1,76.2,90.5,2022
Marion,1690000,      34.8,100.0,  11.7 to 1,97.1,100.0,100.0,2022
Marlborough,1700000,     390.4,100.0,  11.9 to 1,86.1,96.8,98.5,2022
Marshfield,1710000,     335.4,100.0,  11.4 to 1,88.0,96.1,98.9,2022
Martha's Vineyard,7000000,      76.6,97.4,   9.2 to 1,84.1,85.1,89.8,2022
Martha's Vineyard Charter (District),4660000,      20.2,80.2,   8.2 to 1,70.3,79.4,82.6,2022
Martin Luther King Jr. Charter School of Excellence (District),4920000,      39.3,92.4,   8.9 to 1,36.3,82.2,71.1,2022
Masconomet,7050000,     128.0,99.2,  12.8 to 1,95.9,95.2,97.8,2022
Mashpee,1720000,     133.5,100.0,  10.9 to 1,88.1,95.6,95.2,2022
Mattapoisett,1730000,      37.8,100.0,  11.5 to 1,92.1,100.0,100.0,2022
Maynard,1740000,     109.8,97.3,  10.8 to 1,83.2,96.1,87.3,2022
Medfield,1750000,     193.4,99.5,  13.1 to 1,92.0,96.9,96.0,2022
Medford,1760000,     388.9,98.8,  10.3 to 1,83.3,92.6,93.7,2022
Medway,1770000,     154.5,100.0,  13.6 to 1,87.0,96.1,98.2,2022
Melrose,1780000,     267.2,99.3,  14.0 to 1,80.1,94.9,95.9,2022
Mendon-Upton,7100000,     154.0,96.8,  13.9 to 1,90.4,98.7,90.6,2022
Methuen,1810000,     531.0,99.6,  12.1 to 1,80.9,92.7,96.8,2022
Middleborough,1820000,     219.6,100.0,  13.7 to 1,87.9,94.6,97.3,2022
Middleton,1840000,      71.2,98.6,   9.9 to 1,88.7,98.6,97.4,2022
Milford,1850000,     354.3,99.2,  12.2 to 1,86.7,96.4,96.2,2022
Millbury,1860000,     128.9,100.0,  12.4 to 1,89.0,95.3,98.5,2022
Millis,1870000,      97.6,98.4,  12.0 to 1,92.0,97.5,93.5,2022
Milton,1890000,     319.3,99.2,  13.6 to 1,88.7,93.9,96.7,2022
Minuteman Regional Vocational Technical,8300000,      76.8,98.7,   8.5 to 1,86.3,92.2,94.9,2022
Mohawk Trail,7170000,      77.6,97.4,   9.8 to 1,82.3,95.0,93.3,2022
Monomoy Regional School District,7120000,     167.1,99.0,  10.6 to 1,86.7,94.3,96.2,2022
Monson,1910000,      82.1,100.0,  10.2 to 1,79.0,87.8,93.1,2022
Montachusett Regional Vocational Technical,8320000,     113.5,99.1,  12.5 to 1,89.9,87.7,92.4,2022
Mount Greylock,7150000,     110.9,99.8,  10.4 to 1,86.0,89.4,94.9,2022
Mystic Valley Regional Charter (District),4700000,      99.6,57.4,  15.9 to 1,39.6,87.0,41.1,2022
Nahant,1960000,      11.1,98.2,  14.8 to 1,34.6,100.0,80.0,2022
Nantucket,1970000,     157.4,96.4,  10.6 to 1,75.8,87.5,92.4,2022
Narragansett,7200000,     101.2,100.0,  13.8 to 1,81.2,89.1,95.4,2022
Nashoba,7250000,     261.0,99.6,  11.8 to 1,89.2,96.0,97.8,2022
Nashoba Valley Regional Vocational Technical,8520000,      65.3,96.9,  11.3 to 1,83.1,74.0,98.5,2022
Natick,1980000,     444.9,98.7,  11.9 to 1,87.1,95.5,93.9,2022
Nauset,6600000,     132.3,100.0,  10.3 to 1,93.3,94.0,96.4,2022
Needham,1990000,     438.3,99.7,  12.6 to 1,88.3,97.5,98.3,2022
Neighborhood House Charter (District),4440000,      82.0,57.9,   9.3 to 1,39.0,89.0,50.0,2022
New Bedford,2010000,"   1,037.5",98.7,  12.1 to 1,72.5,90.6,95.3,2022
New Heights Charter School of Brockton (District),35130000,      54.0,92.5,  13.8 to 1,44.3,70.0,70.0,2022
New Salem-Wendell,7280000,      13.7,100.0,   9.5 to 1,78.1,92.7,100.0,2022
Newburyport,2040000,     202.5,99.8,  10.6 to 1,88.1,95.3,96.9,2022
Newton,2070000,"   1,108.7",97.9,  10.8 to 1,87.2,96.4,96.0,2022
Norfolk,2080000,      84.3,98.2,  12.2 to 1,86.6,97.9,100.0,2022
Norfolk County Agricultural,9150000,      57.1,96.8,  10.3 to 1,90.0,86.0,95.0,2022
North Adams,2090000,     121.1,100.0,  10.4 to 1,84.6,92.6,91.1,2022
North Andover,2110000,     327.6,99.4,  13.7 to 1,85.9,96.0,94.8,2022
North Attleborough,2120000,     287.6,100.0,  13.8 to 1,84.2,93.4,97.7,2022
North Brookfield,2150000,      43.1,99.3,  10.5 to 1,78.6,96.2,100.0,2022
North Middlesex,7350000,     243.7,100.0,  12.3 to 1,84.4,96.7,97.3,2022
North Reading,2170000,     206.2,100.0,  11.3 to 1,90.4,96.1,100.0,2022
Northampton,2100000,     232.5,99.4,  11.3 to 1,88.8,94.8,97.2,2022
Northampton-Smith Vocational Agricultural,4060000,      58.0,98.3,   9.4 to 1,86.2,84.5,98.3,2022
Northboro-Southboro,7300000,     112.3,100.0,  11.3 to 1,93.4,99.1,96.6,2022
Northborough,2130000,     131.2,99.2,  11.8 to 1,92.1,95.4,97.2,2022
Northbridge,2140000,     168.8,99.0,  11.7 to 1,87.1,92.3,98.3,2022
Northeast Metropolitan Regional Vocational Technical,8530000,     110.2,94.9,  11.9 to 1,85.7,88.7,87.3,2022
Northern Berkshire Regional Vocational Technical,8510000,      45.5,97.8,  11.5 to 1,93.4,91.2,93.5,2022
Norton,2180000,     190.4,100.0,  12.5 to 1,84.9,96.2,98.5,2022
Norwell,2190000,     164.5,100.0,  13.3 to 1,94.5,96.7,100.0,2022
Norwood,2200000,     305.0,99.7,  11.3 to 1,86.8,95.4,97.3,2022
Oak Bluffs,2210000,      49.4,99.9,   8.6 to 1,83.5,94.8,96.8,2022
Old Colony Regional Vocational Technical,8550000,      60.0,96.7,   9.4 to 1,90.0,76.7,95.1,2022
Old Rochester,7400000,      90.4,100.0,  12.0 to 1,94.5,97.8,98.9,2022
Old Sturbridge Academy Charter Public School (District),35150000,      22.0,95.5,  14.5 to 1,54.5,86.4,87.0,2022
Orange,2230000,      37.3,100.0,  14.4 to 1,81.2,92.0,95.1,2022
Orleans,2240000,      20.1,100.0,   8.2 to 1,85.1,100.0,95.7,2022
Oxford,2260000,     142.0,98.6,  10.3 to 1,78.9,90.8,95.9,2022
Palmer,2270000,     113.1,100.0,  10.5 to 1,78.8,92.3,96.2,2022
Pathfinder Regional Vocational Technical,8600000,      69.9,95.7,   9.0 to 1,87.1,80.8,97.2,2022
Paulo Freire Social Justice Charter School (District),35010000,      22.0,69.2,  11.1 to 1,41.0,90.0,61.5,2022
Peabody,2290000,     443.1,99.3,  13.3 to 1,86.8,95.7,96.4,2022
Pelham,2300000,      13.2,100.0,   8.9 to 1,72.6,90.9,100.0,2022
Pembroke,2310000,     180.1,99.1,  14.2 to 1,94.1,96.6,98.4,2022
Pentucket,7450000,     185.3,99.5,  11.9 to 1,84.6,98.9,97.0,2022
Petersham,2340000,      11.7,91.5,   9.7 to 1,78.6,100.0,78.6,2022
Phoenix Academy Public Charter High School Lawrence (District),35180000,      11.4,72.8,  12.1 to 1,28.8,73.6,68.8,2022
Phoenix Academy Public Charter High School Springfield (District),35080000,       9.0,33.3,  19.4 to 1,11.1,88.9,28.6,2022
Phoenix Charter Academy (District),4930000,      12.1,91.7,  15.3 to 1,33.1,83.5,69.2,2022
Pioneer Charter School of Science (District),4940000,      75.5,83.3,  10.3 to 1,42.0,78.1,69.6,2022
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      32.7,80.1,  11.5 to 1,67.9,69.4,61.1,2022
Pioneer Valley,7500000,      55.2,100.0,  11.9 to 1,77.9,96.3,96.8,2022
Pioneer Valley Chinese Immersion Charter (District),4970000,      72.0,82.0,   7.9 to 1,59.7,86.1,69.3,2022
Pioneer Valley Performing Arts Charter Public (District),4790000,      43.0,72.1,   9.3 to 1,55.8,81.4,70.2,2022
Pittsfield,2360000,     511.6,95.2,   9.7 to 1,72.9,90.6,89.6,2022
Plainville,2380000,      47.4,100.0,  13.8 to 1,90.7,100.0,100.0,2022
Plymouth,2390000,     626.1,99.7,  11.5 to 1,88.2,95.3,97.3,2022
Plympton,2400000,      19.3,100.0,  12.5 to 1,84.5,100.0,100.0,2022
Prospect Hill Academy Charter (District),4870000,     105.0,77.7,  10.4 to 1,51.5,94.3,62.2,2022
Provincetown,2420000,      25.0,96.0,   5.6 to 1,68.0,90.4,89.3,2022
Quabbin,7530000,     145.6,100.0,  15.3 to 1,86.5,96.1,96.1,2022
Quaboag Regional,7780000,      92.1,96.7,  12.4 to 1,86.1,93.4,90.8,2022
Quincy,2430000,     727.0,99.6,  12.9 to 1,85.0,95.3,98.8,2022
Ralph C Mahar,7550000,      56.9,98.2,   9.8 to 1,94.7,96.5,81.3,2022
Randolph,2440000,     236.5,98.8,  10.9 to 1,80.8,94.0,92.1,2022
