Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Bristol County,23.29,0.02,0.02,0.01,0.42,0.42,0,0.43,0.09,0.09,0.05,0.19,12.42,3.18,0.38,0.7,1.47,0.63,9.23,1.65,0.77,0.7,0.17,7.32,0.99,0.83,0.05,0.11,0.04,0,0,2021
Middlesex County,13.84,0.01,0.01,0,0.19,0.18,0,0.18,0.03,0.04,0.03,0.09,4.98,1.24,0.14,0.29,0.54,0.27,3.74,1,0.48,0.38,0.14,6.77,0.67,0.55,0.03,0.1,0.03,0,0,2021
Worcester,36.44,0.05,0.03,0.02,0.28,0.28,,1.02,0.22,0.23,0.07,0.5,16.01,5.12,1.13,1.51,2.32,0.17,10.89,3.83,2.04,1.2,0.58,13.16,2.02,1.66,0.09,0.27,0.05,0.02,0.01,2021
Plymouth County,14.93,0.02,0.02,,0.37,0.36,0,0.22,0.06,0.03,0.03,0.1,6.83,2.07,0.23,0.4,0.97,0.47,4.76,0.81,0.43,0.31,0.07,5.38,1.24,1.16,0.05,0.02,0.04,0,0,2021
Lynn,21.26,0.01,0.01,,0.28,0.28,,0.5,0.08,0.07,0.09,0.25,11.47,3.84,0.45,0.95,2.13,0.31,7.63,1.36,0.69,0.62,0.05,6.15,1.43,1.23,0.05,0.15,0.05,,,2021
Fall River,31.65,0.03,0.03,,0.61,0.61,,0.99,0.18,0.26,0.15,0.4,19.62,7.96,1.04,1.28,3.26,2.38,11.66,3.77,1.56,1.86,0.35,5.18,1.36,1.03,0.12,0.21,0.09,,,2021
Norfolk County,12.89,0.01,0.01,0.01,0.18,0.18,,0.14,0.04,0.01,0.03,0.05,4.79,1.3,0.13,0.18,0.64,0.35,3.48,0.88,0.48,0.29,0.12,6.2,0.68,0.55,0.03,0.1,0.02,0,,2021
Brockton,34.15,0.08,0.08,,0.64,0.63,0.01,0.96,0.28,0.15,0.14,0.39,15.7,5.05,0.76,1.21,2.12,0.97,10.65,1.6,1.02,0.42,0.16,10.38,4.69,4.63,0.06,,0.11,0.01,,2021
Holyoke,59.84,0.05,0.05,,0.42,0.42,,1.56,0.35,0.37,0.32,0.52,25.29,7.07,1.59,1.93,3.22,0.32,18.23,3.87,2.33,0.87,0.67,25.89,2.53,2.26,0.17,0.1,0.22,,,2021
Lowell,28.54,0.05,0.05,,0.14,0.13,0.01,0.53,0.08,0.12,0.08,0.25,14.01,2.53,0.56,1.03,0.59,0.35,11.48,1.76,1.09,,0.67,10.36,1.66,1.27,0.04,0.36,0.03,,,2021
Abington,11.8,,,,0.17,0.17,,0.06,,,,0.06,3.52,1.48,0.17,0.45,0.85,,2.04,0.68,0.23,0.4,0.06,6.36,0.91,0.74,0.11,0.06,0.06,0.06,,2021
New Bedford,45.6,0.05,0.04,0.01,0.54,0.53,0.01,0.87,0.28,0.17,0.07,0.35,26.91,4.94,0.66,1.67,2.04,0.56,21.97,2.65,1.54,1.01,0.1,12.76,1.74,1.38,0.06,0.3,0.07,,,2021
North Attleborough,12.39,0.03,0.03,,0.17,0.17,,0.1,,,,0.1,4.2,1.34,0.1,0.2,1.01,0.03,2.85,0.67,0.3,0.2,0.17,6.95,0.27,0.27,,,,,,2021
Lawrence,23.64,0.09,0.07,0.01,0.22,0.22,,0.53,0.23,0.09,0.05,0.16,12.27,3.62,0.64,0.96,1.63,0.38,8.65,0.77,0.52,0.22,0.02,7.8,1.91,1.43,0.28,0.2,0.05,,,2021
Westfield,14.52,,,,0.39,0.39,,0.12,,0.02,0.05,0.05,5.52,1.69,0.24,0.46,0.51,0.48,3.83,1.21,0.65,0.39,0.17,6.44,0.8,0.68,0.12,,0.05,,,2021
Everett,19.87,0.02,0.02,,0.51,0.47,0.04,0.26,0.04,0.04,0.06,0.11,6.94,2.24,0.3,0.85,0.66,0.43,4.71,1.45,0.66,0.62,0.17,8.86,1.83,1.66,0.06,0.11,,,,2021
Barnstable County,18.42,0.01,0.01,0,0.57,0.55,0.01,0.14,0.02,0.01,0.01,0.09,9.44,2.39,0.24,0.31,1.33,0.52,7.04,1.82,0.82,0.75,0.24,5.91,0.45,0.38,0.04,0.03,0.05,0.02,,2021
Barnstable,21.19,0.04,0.02,0.02,0.71,0.69,0.02,0.25,0.02,,0.02,0.2,12.69,3.46,0.27,0.58,2.05,0.56,9.23,1.45,0.6,0.69,0.16,5.51,0.45,0.4,0.02,0.02,0.07,0.02,,2021
Berkshire County,20.87,0.03,0.02,0.01,0.51,0.51,,0.35,0.11,0.05,0.03,0.16,8.71,3.39,0.5,0.66,1.23,0.99,5.31,2.94,1.48,1.37,0.09,7.46,0.83,0.77,0.03,0.03,0.04,,,2021
Pittsfield,27.67,0.02,0.02,,0.87,0.87,,0.67,0.24,0.07,0.05,0.31,10.18,5.08,0.89,1.18,1.83,1.18,5.1,5.46,2.77,2.6,0.1,8.86,1.54,1.44,0.02,0.07,0.07,,,2021
Taunton,20.37,0.05,0.03,0.02,0.48,0.48,,0.33,0.05,0.03,0.05,0.19,9.82,3.03,0.27,0.74,1.42,0.6,6.79,1.18,0.53,0.58,0.07,6.96,1.51,1.35,0.05,0.1,0.02,0.02,,2021
Chicopee,36.02,0.05,0.05,,0.58,0.56,0.02,0.54,0.14,0.05,0.09,0.25,16.52,3.65,0.34,0.87,2.1,0.34,12.87,2.28,1.5,0.61,0.16,13.92,2.1,1.99,0.05,0.05,0.04,,,2021
Revere,23.06,,,,0.36,0.36,,0.45,0.15,0.08,0.04,0.19,10.18,2.18,0.21,0.47,0.96,0.53,8,1.27,0.76,0.34,0.17,9.04,1.68,1.46,0.04,0.19,0.04,0.04,,2021
MBTA - Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Groveland,2.01,,,,,,,,,,,,0.57,0.14,,,0.14,,0.43,0.29,0.14,0.14,,0.86,0.29,,,0.29,,,,2021
Haverhill,27.65,0.02,0.02,,0.29,0.29,,0.18,0.06,0.06,,0.06,18.74,5.3,0.38,0.86,2.79,1.26,13.44,1.96,0.8,1.14,0.02,5.59,0.85,0.72,0.08,0.05,0.03,,,2021
Methuen,14.92,,,,0.17,0.17,,0.21,0.1,,0.04,0.08,6.29,1.47,0.23,0.41,0.48,0.35,4.82,0.56,0.41,0.14,0.02,6.89,0.79,0.77,,0.02,0,,,2021
MBTA - Essex County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
East Longmeadow,17.25,,,,0.68,0.68,,0.18,0.06,,,0.12,5.71,0.92,0.31,0.12,0.43,0.06,4.79,2.21,1.11,0.98,0.12,7.18,1.29,1.23,,0.06,,,,2021
Hampshire County,13.92,0.01,0.01,,0.57,0.56,0.01,0.1,0.02,0.01,0.02,0.04,5.73,1.71,0.11,0.29,0.78,0.52,4.03,1.08,0.61,0.37,0.1,6.02,0.36,0.31,0.02,0.02,0.05,,,2021
Northampton,24.95,0.04,0.04,,0.78,0.78,,0.32,0.11,,0.04,0.18,9.81,2.89,0.14,0.78,1.34,0.64,6.92,1.48,0.64,0.78,0.07,11.82,0.6,0.49,0.07,0.04,0.11,,,2021
Cambridge,28.9,0.01,0.01,,0.28,0.28,,0.53,0.06,0.12,0.12,0.23,8.6,2.24,0.28,0.46,1.06,0.44,6.36,1.68,0.61,0.99,0.08,16.78,0.98,0.76,0.05,0.17,0.04,0.01,,2021
Framingham,17.28,0.01,0.01,,0.07,0.07,,0.15,0.04,0.05,,0.05,6.06,2.72,0.15,0.6,1.03,0.95,3.34,1.21,0.39,0.23,0.6,8.76,1.03,0.83,0.09,0.11,,,,2021
Groton,5.17,,,,0.26,0.26,,,,,,,1.67,0.26,,,0.26,,1.4,0.61,0.44,0.09,0.09,2.28,0.26,0.09,,0.18,0.09,,,2021
Lexington,5.44,,,,0.06,0.06,,0.06,,0.03,,0.03,2.18,0.6,,0.15,0.27,0.18,1.59,0.6,0.33,0.18,0.09,2.39,0.15,0.12,,0.03,,,,2021
Malden,19.01,0.05,0.05,,0.17,0.17,,0.41,0.17,0.05,,0.2,6.52,1.94,0.17,0.53,0.76,0.48,4.58,1.65,0.74,0.91,,8.64,1.54,1.16,0.1,0.28,0.03,,,2021
Tewksbury,21.33,,,,0.57,0.57,,0.13,,0.03,,0.1,9.33,2.29,0.06,0.22,1.69,0.32,7.04,0.83,0.6,0.13,0.1,9.81,0.64,0.54,0.03,0.06,0.03,,,2021
Brookline,12.08,,,,0.02,0.02,,0.23,0.07,0.02,0.13,0.02,2.23,0.4,0.02,0.07,0.28,0.03,1.82,1.02,0.6,0.02,0.4,8.08,0.5,0.47,,0.03,,,,2021
Plainville,9.69,,,,0.21,0.21,,,,,,,3.79,0.63,,0.21,0.32,0.11,3.16,0.95,0.42,0.42,0.11,4.42,0.32,0.11,0.11,0.11,,,,2021
Quincy,22.13,0.01,,0.01,0.28,0.28,,0.26,0.03,0.06,0.06,0.1,9.36,2.62,0.16,0.41,1.4,0.66,6.74,2.31,1.2,0.86,0.25,8.42,1.45,1,0.09,0.36,0.04,,,2021
Randolph,20.89,,,,0.28,0.28,,0.28,0.16,0.03,0.06,0.03,10.35,2.39,0.56,0.4,1.02,0.4,7.97,1.36,1.09,0.16,0.12,7.19,1.43,1.27,,0.16,,,,2021
Stoughton,16.79,,,,0.48,0.48,,0.41,0.2,0.03,0.07,0.1,7.78,1.84,0.34,0.27,1.19,0.03,5.95,1.16,0.71,0.34,0.1,5.44,1.5,1.16,0.07,0.27,0,0.03,,2021
Wareham,17.87,,,,0.46,0.46,,0.13,,,0.04,0.08,7.85,2.5,0.33,0.38,1.38,0.42,5.34,1.34,0.79,0.54,,6.93,1.13,0.88,0.17,0.08,0.04,,,2021
Athol,18.9,,,,0.59,0.59,,0.25,0.08,,,0.17,8.81,2.97,0.17,0.76,1.53,0.51,5.85,1.1,0.68,0.42,,7.03,1.1,1.1,,,,,,2021
Clinton,2.27,,,,,,,,,,,,1.77,0.28,,,0.07,0.21,1.49,,,,,0.43,0.07,0.07,,,,,,2021
Fitchburg,22.5,,,,0.47,0.47,,0.3,0.15,0.05,0.02,0.07,11.74,3.86,0.66,1.11,1.48,0.62,7.88,1.38,0.86,0.34,0.17,7.31,1.26,1.11,0.05,0.1,0.05,,,2021
Bourne,19.69,,,,0.3,0.3,,0.1,0.05,,0.05,,10.4,1.91,0.15,0.35,1.16,0.25,8.49,2.21,0.6,1.36,0.25,5.73,0.95,0.7,0.25,,,,,2021
Brewster,9.25,,,,0.3,0.3,,0.3,,,,0.3,2.95,0.61,,0.1,0.41,0.1,2.34,1.63,0.81,0.71,0.1,3.86,0.1,,0.1,,,0.1,,2021
Chatham,13.43,,,,0.33,0.33,,,,,,,4.64,0.33,0.17,,0.17,,4.31,0.83,0.33,0.5,,7.63,,,,,,,,2021
Dennis,27.2,,,,1.15,1.07,0.07,0.07,,,,0.07,13.31,3.36,0.36,0.57,1.43,1,9.95,3.08,1.36,1.07,0.64,9.23,0.21,0.21,,,0.07,0.07,,2021
Eastham,20.46,,,,0.41,0.41,,,,,,,6.28,2.43,0.61,,1.62,0.2,3.85,1.01,0.61,0.41,,12.15,0.61,0.41,,0.2,,,,2021
Falmouth,21.46,0.03,0.03,,0.42,0.42,,0.19,0.1,0.03,,0.06,11.02,2.68,0.48,0.22,1.31,0.67,8.33,3.58,2.43,0.86,0.29,5.62,0.51,0.45,,0.06,0.1,,,2021
Harwich,14.3,,,,0.25,0.25,,,,,,,6.78,1.31,0.08,0.25,0.74,0.25,5.48,1.88,0.57,0.82,0.49,4.99,0.33,0.25,,0.08,0.08,,,2021
Mashpee,12.63,,,,0.62,0.62,,0.07,,,,0.07,6.31,2.5,0.49,0.21,1.11,0.69,3.82,0.76,0.14,0.35,0.28,4.23,0.62,0.56,,0.07,,,,2021
Orleans,18.66,,,,0.51,0.51,,0.17,,,,0.17,7.53,1.88,0.51,,1.2,0.17,5.65,0.68,0.34,0.34,,9.42,0.34,0.34,,,,,,2021
Provincetown,32.86,,,,1.68,1.34,0.34,,,,,,13.75,3.35,,0.67,1.34,1.34,10.4,3.35,1.01,2.01,0.34,12.74,1.01,1.01,,,0.34,,,2021
Sandwich,9.62,,,,0.39,0.39,,0,0,,,,5.77,1.58,0.05,0.1,1.18,0.25,4.19,0.35,0.2,0.15,,2.76,0.35,0.35,,,0,,,2021
Truro,14.33,,,,0.49,0.49,,,,,,,7.91,1.48,,,1.48,,6.42,1.98,0.49,0.49,0.99,3.95,,,,,,,,2021
Wellfleet,10.92,,,,0.73,0.73,,,,,,,5.1,1.46,,0.36,0.73,0.36,3.64,0.36,,0.36,,4.37,0.36,0.36,,,,,,2021
Yarmouth,19.75,,,,0.69,0.69,,0.26,,0.09,0.04,0.13,9.36,2.45,0.04,0.26,1.29,0.86,6.91,1.76,0.47,0.94,0.34,7.21,0.34,0.26,0.09,,0.09,0.04,,2021
Cape Cod Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
MBTA - Barnstable County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Barnstable State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Barnstable State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Adams,23.03,0.13,0.13,,0.76,0.76,,0.13,,,,0.13,10.75,5.06,0.51,2.15,2.02,0.38,5.69,2.4,1.14,1.27,,8.22,0.63,0.63,,,,,,2021
Alford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Becket,6.47,,,,0.59,0.59,,,,,,,2.94,0.59,,,0.59,,2.35,1.18,0.59,0.59,,1.76,,,,,,,,2021
Cheshire,2.26,,,,,,,,,,,,1.62,,,,,,1.62,0.32,,0.32,,0.32,,,,,,,,2021
Clarksburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Dalton,11.93,,,,0.31,0.31,,0.15,,,,0.15,7.13,2.48,0.31,0.15,0.93,1.08,4.65,1.39,0.46,0.77,0.15,2.32,0.46,0.31,0.15,,0.15,,,2021
Egremont,12.5,,,,,,,,,,,,6.67,2.5,,,1.67,0.83,4.17,,,,,5.83,,,,,,,,2021
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Great Barrington,15.51,,,,0.72,0.72,,0.14,,,0.14,,6.75,1.58,0.14,0.57,0.43,0.43,5.17,1.15,0.43,0.43,0.29,6.46,0.14,0.14,,,0.14,,,2021
Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Hinsdale,3.7,,,,,,,,,,,,3.7,3.17,1.59,,0.53,1.06,0.53,,,,,,,,,,,,,2021
Lanesboro,8.25,,,,0.69,0.69,,,,,,,3.09,1.38,0.34,,0.34,0.69,1.72,0.69,0.69,,,3.44,0.34,,0.34,,,,,2021
Lee,20.19,,,,0.18,0.18,,0.18,,,,0.18,6.61,0.89,0.18,0.18,0.54,,5.72,2.68,1.79,0.71,0.18,10.18,0.36,0.36,,,,,,2021
Lenox,15.85,,,,0.2,0.2,,0.41,0.2,,,0.2,3.46,0.41,0.2,,0.2,,3.05,1.83,0.81,0.81,0.2,9.76,0.2,0.2,,,,,,2021
Monterey,9.84,,,,,,,,,,,,3.28,1.09,,,,1.09,2.19,,,,,4.37,2.19,1.09,,1.09,,,,2021
Mount Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
New Ashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
New Marlboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
North Adams,53.01,,,,0.55,0.55,,0.79,0.24,0.24,0.08,0.24,27.46,9.57,0.95,0.79,3.4,4.43,17.88,4.83,2.37,2.37,0.08,18.12,1.27,1.27,,,,,,2021
Otis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Sandisfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Savoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Stockbridge,16.52,,,,,,,,,,,,5.86,0.53,0.53,,,,5.33,2.66,1.6,0.53,0.53,6.93,1.07,1.07,,,,,,2021
Tyringham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
West Stockbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Williamstown,8.8,,,,0.26,0.26,,,,,,,1.44,0.13,,,0.13,,1.31,0.26,0.13,0.13,,6.56,0.26,0.26,,,,,,2021
Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
MA College of Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
MBTA - Berkshire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Berkshire State Police,3.43,0.16,0.08,0.08,,,,,,,,,1.68,0.08,,0.08,,,1.6,0.56,0.32,0.24,,0.8,0.24,0.16,0.08,,,,,2021
Berkshire State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Berkshire State Police Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Acushnet,7.87,,,,0.37,0.37,,0.09,,,0.09,,4.45,0.56,,,0.46,0.09,3.89,0.28,0.09,0.19,,2.13,0.46,0.46,,,0.09,,,2021
Attleboro,24.11,,,,0.33,0.33,,0.33,0.09,0.09,,0.15,10.72,2.22,0.35,0.48,1.24,0.15,8.5,1.11,0.54,0.3,0.26,10.41,1.15,0.93,0.11,0.11,0.07,,,2021
Berkley,4.71,,,,0.14,0.14,,,,,,,3,0.43,0.14,,0.29,,2.57,0.43,0.29,0.14,,1,0.14,0.14,,,,,,2021
Dartmouth,21.63,,,,0.18,0.18,,0.23,,0.09,,0.15,9.16,1.26,0.2,0.29,0.64,0.12,7.9,1.14,0.47,0.47,0.2,10.63,0.29,0.29,,,,,,2021
Dighton,7.68,,,,0.37,0.37,,0.24,,,,0.24,4.39,0.97,,0.12,0.73,0.12,3.41,0.73,0.37,0.12,0.24,1.46,0.49,0.37,,0.12,,,,2021
Easton,9.21,,,,0.24,0.24,,0.16,0.04,0.08,0.04,,3.65,1.02,0.08,0.2,0.55,0.2,2.63,0.47,0.27,0.2,,4.23,0.47,0.39,0.08,,,,,2021
Fairhaven,21.96,,,,0.49,0.49,,0.25,,0.12,,0.12,12.79,1.91,0.12,0.31,1.17,0.31,10.89,0.43,0.12,0.18,0.12,6.95,0.98,0.8,0.06,0.12,,,0.06,2021
Freetown,13.38,,,,0.42,0.42,,,,,,,8.88,1.25,0.31,,0.63,0.31,7.63,1.05,0.42,0.42,0.21,2.72,0.31,0.21,0.1,,,,,2021
Mansfield,12.78,,,,0.28,0.28,,0.12,,0.04,0,0.08,6.31,1.13,,0.36,0.44,0.32,5.18,0.68,0.16,0.28,0.24,4.86,0.52,0.48,,0.04,,,,2021
Norton,3.71,,,,0.2,0.2,,0.05,,,,0.05,2.22,1.04,,0.2,0.69,0.15,1.19,0.05,0.05,,,1.14,0.05,0.05,,,,,,2021
Raynham,10.95,,,,0.34,0.34,,0.27,,,0.07,0.2,2.77,1.55,0.07,0.27,0.81,0.41,1.22,0.74,0.41,0.27,0.07,6.35,0.47,0.47,,,,,,2021
Rehoboth,6.22,,,,0.08,0.08,,0.08,,,0.08,,2.6,0.87,,0.16,0.63,0.08,1.73,0.87,0.08,0.39,0.39,2.21,0.39,0.39,,,,,,2021
Seekonk,21.47,0.06,0.06,,0.49,0.49,,0.19,,,0.06,0.12,4.87,1.48,,0.37,0.8,0.31,3.39,2.71,1.23,1.17,0.31,12.03,1.05,1.05,,,0.06,,,2021
Somerset,15.26,0.05,,0.05,0.38,0.38,,0.11,0.05,,,0.05,8.2,1.7,0.16,0.27,1.09,0.16,6.51,0.49,0.27,0.22,,5.52,0.44,0.33,0.05,0.05,0.05,,,2021
Swansea,14.54,,,,0.29,0.29,,0.06,,,,0.06,7.07,0.93,,,0.75,0.17,6.14,1.1,0.52,0.41,0.17,5.39,0.64,0.64,,,,,,2021
Westport,10.25,,,,0.43,0.43,,,,,,,5.22,1.35,0.25,0.12,0.8,0.18,3.87,0.61,0.37,0.18,0.06,3.19,0.74,0.74,,,0.06,,,2021
U-Mass Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Stonehill College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Bristol Comm College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Wheaton College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
MBTA - Bristol County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Bristol State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Bristol State Police Framingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Bristol State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Dukes County,18.31,,,,0.28,0.28,,,,,,,10.45,4.92,0.11,0.51,1.41,2.88,5.54,0.96,0.34,0.62,,6.27,0.28,0.28,,,0.06,,,2021
Chilmark,12.66,,,,1.05,1.05,,,,,,,7.38,2.11,,1.05,1.05,,5.27,,,,,4.22,,,,,,,,2021
Edgartown,18.34,,,,0.22,0.22,,,,,,,9.4,5.59,,0.67,1.57,3.36,3.8,0.45,,0.45,,7.83,0.45,0.45,,,,,,2021
Aquinnah,12.2,,,,,,,,,,,,6.1,,,,,,6.1,,,,,6.1,,,,,,,,2021
Gosnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Oak Bluffs,18.65,,,,0.42,0.42,,,,,,,11.74,4.61,,1.05,1.26,2.31,7.12,1.26,0.42,0.84,,5.24,,,,,,,,2021
Tisbury,23.82,,,,0.24,0.24,,,,,,,12.86,5.72,0.24,,1.91,3.57,7.15,1.91,0.71,1.19,,8.1,0.48,0.48,,,0.24,,,2021
West Tisbury,12.41,,,,,,,,,,,,8.05,4.69,0.34,,1.01,3.35,3.35,0.34,0.34,,,3.69,0.34,0.34,,,,,,2021
MBTA - Dukes County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Dukes State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Dukes State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Amesbury,7.69,,,,0.11,0.11,,0.17,0.06,0.06,,0.06,4.27,0.84,,0.17,0.51,0.17,3.43,0.34,,0.34,,2.58,0.22,0.22,,,,,,2021
North Shore CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Andover,7.68,,,,,,,,,,,,2.34,0.11,,,,0.11,2.23,0.99,0.38,0.56,0.05,4.08,0.24,0.24,,,0.03,,,2021
Beverly,7.33,,,,0.14,0.14,,0.07,,,0.02,0.05,2.26,0.89,0.02,0.16,0.26,0.44,1.38,0.3,0.09,0.21,,4.15,0.35,0.26,0.05,0.05,0.05,,,2021
Boxford,1.9,,,,,,,,,,,,0.36,,,,,,0.36,,,,,1.3,0.24,0.24,,,,,,2021
Danvers,17.2,,,,0.07,0.07,,0.14,0.07,0.04,0.04,,7.88,1.51,0.07,0.25,0.68,0.5,6.38,0.68,0.29,0.32,0.07,7.81,0.57,0.54,,0.04,0.04,,,2021
Essex,5.92,,,,0.26,0.26,,,,,,,3.34,0.26,,,0.26,,3.09,0.26,,,0.26,2.06,,,,,,,,2021
Georgetown,5.27,,,,0.22,0.22,,,,,,,2.35,0.45,,0.22,0.22,,1.91,0.67,0.11,0.34,0.22,1.91,0.11,0.11,,,,,,2021
Gloucester,13.31,,,,0.13,0.13,,0.06,,,,0.06,7.23,1.45,0.19,0.19,0.61,0.45,5.78,0.71,0.32,0.32,0.06,4.49,0.68,0.58,0.1,,0,,,2021
Hamilton,4.78,,,,,,,,,,,,1.96,0.49,,,0.24,0.24,1.47,0.73,0.12,,0.61,1.96,0.12,0.12,,,,,,2021
Ipswich,6.71,,,,,,,,,,,,2.87,1.05,0.14,0.14,0.49,0.28,1.82,1.26,0.56,0.7,,2.1,0.49,0.49,,,,,,2021
Lynnfield,7.44,,,,0.08,0.08,,,,,,,2.11,0.75,,,0.3,0.45,1.35,0.15,,0.15,,4.66,0.45,0.23,0.08,0.15,,,,2021
Manchester-by-the-sea,4.72,,,,,,,,,,,,1.45,0.73,,0.18,0.54,,0.73,0.54,0.36,0.18,,2.36,0.36,0.36,,,,,,2021
Marblehead,7.6,,,,,,,0.05,,,,0.05,2.45,0.67,0.19,,0.29,0.19,1.78,0.53,0.19,0.29,0.05,4.14,0.38,0.38,,,0.05,,,2021
Merrimac,3.95,,,,0.42,0.42,,,,,,,1.97,0.42,,,0.28,0.14,1.55,0.28,0.14,0.14,,1.27,,,,,,,,2021
Middleton,5.53,,,,,,,,,,,,3.01,0.29,,,0.19,0.1,2.72,0.58,0.29,0.19,0.1,1.75,0.19,0.19,,,,,,2021
Nahant,6.77,,,,0.28,0.28,,,,,,,3.39,1.41,,,0.28,1.13,1.98,,,,,2.82,0.28,,,0.28,,,,2021
Newbury,8.37,,,,,,,,,,,,4.94,0.69,,,0.27,0.41,4.26,1.24,0.82,0.14,0.27,1.92,0.14,0.14,,,0.14,,,2021
Newburyport,10.13,,,,0.21,0.21,,0.05,,,0.05,,4.53,0.85,,0.05,0.43,0.37,3.68,0.37,0.11,0.27,,4.74,0.16,0.16,,,0.05,,,2021
North Andover,5.49,,,,0.06,0.06,,0.06,0.03,,,0.03,1.69,0.44,,0.06,0.34,0.03,1.25,0.47,0.25,0.22,,2.9,0.25,0.25,,,0.06,,,2021
Peabody,15.28,,,,0.3,0.3,,0.26,0.02,0.06,0.04,0.15,6.86,2.14,0.41,0.34,0.86,0.54,4.71,0.88,0.35,0.43,0.09,6.3,0.65,0.58,0.06,0.02,0.04,,,2021
Rockport,4.19,,,,,,,0.14,0.14,,,,2.43,0.54,,,0.41,0.14,1.89,0.54,0.27,0.27,,1.08,,,,,,,,2021
Rowley,6,0.15,,0.15,,,,,,,,,2.31,0.92,,0.15,0.31,0.46,1.38,0.92,0.31,0.46,0.15,2.46,0.15,0.15,,,,,,2021
Salem,27.72,0,0,,0.16,0.16,,0.34,0.07,0.05,0.02,0.2,13.85,1.77,0.36,0.36,0.88,0.16,12.08,1.52,0.77,0.54,0.2,10.95,0.91,0.75,0.07,0.09,,,,2021
Salisbury,17.84,,,,0.82,0.82,,0.1,,,,0.1,7.54,1.02,0.1,0.2,0.61,0.1,6.52,1.63,0.82,0.82,,6.52,1.22,1.12,0.1,,,,,2021
Saugus,14.67,0.03,0.03,,0.28,0.28,,0.17,0.03,0.07,,0.07,4.28,1.69,0.41,0.24,0.52,0.52,2.59,1.14,0.66,0.45,0.03,8.04,0.72,0.69,,0.03,,,,2021
