Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Carver,00520000,Public School District,Superintendent,Scott Knief,3 Carver Square Blvd.,,Carver,MA,02330,508-866-6160,508-866-2920,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Central Berkshire,06350000,Public School District,Superintendent,Leslie Blake-Davis,PO Box 299,Rt 8,Dalton,MA,01227,413-684-0320,413-684-4088,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Charlemont (non-op),00530000,Public School District,Superintendent,Sheryl Stanton,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Charlton (non-op),00540000,Public School District,Superintendent,Steven Lamarche,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077,NA
Chatham (non-op),00550000,Public School District,Superintendent,Scott Carpenter,425 Crowell Rd,,Chatham,MA,02633,508-945-5130,508-945-5133,NA
Chelmsford,00560000,Public School District,Superintendent,Roger Lang,230 North Road,,Chelmsford,MA,01824,978-251-5100,978-251-5110,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Chelsea,00570000,Public School District,Superintendent,Almudena Abeyta,500 Broadway,Room 216,Chelsea,MA,02150,617-466-4477,617-889-8361,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Cheshire (non-op),00580000,Public School District,Superintendent,Kristen Gordon,191 Church Street,,Cheshire,MA,01225,413-743-2939,413-743-4135,NA
Chester (non-op),00590000,Public School District,Superintendent,Kristen Smidy,12 Littleville Road,,Huntington,MA,01050,413-685-1011,413-667-8739,NA
Chesterfield (non-op),00600000,Public School District,Superintendent,Craig Jurgensen,19 Stage Rd,,Westhampton,MA,01027,413-527-7200,413-529-9497,NA
Chesterfield-Goshen,06320000,Public School District,Superintendent,Diana Bonneville,PO Box 300,,Chesterfield,MA,01012,413-527-7200,413-529-9497,"PK,K,01,02,03,04,05,06"
Chicopee,00610000,Public School District,Superintendent,Marcus Ware,134 Dulong Circle,,Chicopee,MA,01022,413-594-3410,413-594-3552,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Chilmark (non-op),00620000,Public School District,Superintendent,Richard Smith,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190,NA
Christa McAuliffe Charter School (District),04180000,Charter District,Charter School Leader,Sarah Steinitz,139 Newbury St,,Framingham,MA,01701,508-879-9000,508-471-3135,"06,07,08"
City on a Hill Charter Public School (District),04370000,Charter District,Charter School Leader,Sonya Pratt,58 Circuit Street,,Roxbury,MA,02119,617-445-1515,--,"09,10,11,12"
Clarksburg,00630000,Public School District,Superintendent,John Franzoni,777 West Crossroad,,Clarksburg,MA,01247,413-664-8735,413-664-8735,"PK,K,01,02,03,04,05,06,07,08"
Clinton,00640000,Public School District,Superintendent,Steven Meyer,150 School Street,,Clinton,MA,01510,978-365-4200,978-365-5037,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Codman Academy Charter Public (District),04380000,Charter District,Charter School Leader,Diana Lam,637 Washington Street,,Dorchester,MA,02124,617-287-0700,617-287-9064,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Cohasset,00650000,Public School District,Superintendent,Patrick Sullivan,143 Pond Street,,Cohasset,MA,02025,781-383-6112,781-383-6507,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Collegiate Charter School of Lowell (District),35030000,Charter District,Charter School Leader,Adam Bakr,1857 Middlesex Street,,Lowell,MA,01851,978-458-1399,978-458-1366,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Colrain (non-op),00660000,Public School District,Superintendent,Sheryl Stanton,24 Ashfield Rd,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Community Charter School of Cambridge (District),04360000,Charter District,Charter School Leader,Rebecca Norris,245 Bent Street,,Cambridge,MA,02141,617-354-0047,617-354-3624,"06,07,08,09,10,11,12"
Community Day Charter Public School (District),04400000,Charter District,Charter School Leader,Mary Chance,73 Prospect Street,,Lawrence,MA,01841,978-681-9910,978-681-5838,"PK,K,01,02,03,04,05,06,07,08"
Concord,00670000,Public School District,Superintendent,Laurie Hunter,120 Meriam Rd,,Concord,MA,01742,978-318-1500,978-318-1537,"PK,K,01,02,03,04,05,06,07,08"
Concord-Carlisle,06400000,Public School District,Superintendent,Laurie Hunter,120 Meriam Rd,,Concord,MA,01742,978-341-2490,978-318-1537,"09,10,11,12"
Conservatory Lab Charter (District),04390000,Charter District,Charter School Leader,Nicole Mack,395 Columbia Rd,,Dorchester,MA,02125,617-254-8904,617-254-8908,"PK,K,01,02,03,04,05,06,07,08"
Conway,00680000,Public School District,Superintendent,Darius Modestow,"113 North Main Street, Office C101",,South Deerfield,MA,01373,413-665-1155,413-665-8506,"PK,K,01,02,03,04,05,06"
Cummington (non-op),00690000,Public School District,Superintendent,Leslie Blake-Davis,254 Hinsdale Road,Box 299,Dalton,MA,01227,413-684-0320,413-684-4088,NA
Dalton (non-op),00700000,Public School District,Superintendent,Leslie Blake-Davis,PO Box 299,,Dalton,MA,01227,413-684-0320,413-684-4088,NA
Danvers,00710000,Public School District,Superintendent,Daniel Bauer,64 Cabot Road,,Danvers,MA,01923,978-774-4800,978-777-8931,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dartmouth,00720000,Public School District,Superintendent,June Saba-maguire,8 Bush Street,,Dartmouth,MA,02748,508-997-3391,508-991-4184,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dedham,00730000,Public School District,Superintendent,Nan Murphy,100 Whiting Avenue,,Dedham,MA,02026,781-310-1000,781-320-0193,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Deerfield,00740000,Public School District,Superintendent,Darius Modestow,"113 North Main Street, Office C101",,South Deerfield,MA,01373,413-665-1155,413-665-8506,"PK,K,01,02,03,04,05,06"
Dennis (non-op),00750000,Public School District,Superintendent,Carol Woodbury,296 Station Avenue,,South Yarmouth,MA,02664,508-398-7605,508-398-7622,NA
Dennis-Yarmouth,06450000,Public School District,Superintendent,Marc Smith,296 Station Avenue,,South Yarmouth,MA,02664,508-398-7600,508-398-7622,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Devens (non-op),03520000,Public School District,Superintendent,Linda Dwight,270 Barnum Rd,,Devens,MA,01432,978-772-6340,978-772-7577,NA
Dighton (non-op),00760000,Public School District,Superintendent,Anthony Azar,2700 Regional Road,,North Dighton,MA,02764,508-252-5000,508-252-5024,NA
Dighton-Rehoboth,06500000,Public School District,Superintendent,Bill Runey,2700 Regional Road,,North Dighton,MA,02764,508-252-5000,508-252-5024,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Douglas,00770000,Public School District,Superintendent,Paul Vieira,21 Davis Street,,Douglas,MA,01516,508-476-7901,508-476-4423,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dover,00780000,Public School District,Superintendent,Elizabeth McCoy,157 Farm Street,,Dover,MA,02030,508-785-0036,508-785-2239,"PK,K,01,02,03,04,05"
Dover-Sherborn,06550000,Public School District,Superintendent,Elizabeth McCoy,157 Farm Street,,Dover,MA,02030,508-785-0036,508-785-2239,"06,07,08,09,10,11,12"
Dracut,00790000,Public School District,Superintendent,Steven Stone,2063 Lakeview Avenue,,Dracut,MA,01826,978-957-2660,978-957-2682,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dudley (non-op),00800000,Public School District,Superintendent,Steven Lamarche,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077,NA
Dudley Street Neighborhood Charter School (District),04070000,Charter District,Charter School Leader,Elijah Heckstall,6 Shirley Street,,Boston,MA,02119,617-635-8507,617-635-6320,"PK,K,01,02,03,04,05"
Dudley-Charlton Reg,06580000,Public School District,Superintendent,Steven Lamarche,68 Dudley Oxford Road,,Dudley,MA,01571,508-943-6888,508-943-1077,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Dunstable (non-op),00810000,Public School District,Superintendent,Laura Chesson,344 Main Street,,Groton,MA,01450,978-448-5505,978-448-9402,NA
Duxbury,00820000,Public School District,Superintendent,Danielle Klingaman,93 Chandler Street,,Duxbury,MA,02332,781-934-7600,781-934-7644,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
East Bridgewater,00830000,Public School District,Superintendent,Elizabeth Legault,143 Plymouth Street,,East Bridgewater,MA,02333,508-378-8200,508-378-8225,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
East Brookfield (non-op),00840000,Public School District,Superintendent,Paul Haughey,306 Main Street,,Spencer,MA,01562,508-885-8500,508-885-8504,NA
East Longmeadow,00870000,Public School District,Superintendent,Gordon Smith,180 Maple Street,,East Longmeadow,MA,01028,413-525-5450,413-525-5456,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Eastham,00850000,Public School District,Superintendent,Brooke Clenchy,78 Eldredge Pkwy,,Orleans,MA,02653,508-255-8800,508-240-2351,"PK,K,01,02,03,04,05"
Easthampton,00860000,Public School District,Superintendent,Maureen Binienda,50 Payson Avenue,Second Floor,Easthampton,MA,01027,413-529-1500,413-529-1567,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Easton,00880000,Public School District,Superintendent,Lisha Cabral,48 Spooner Street,,North Easton,MA,02356,508-205-5900,--,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Edgartown,00890000,Public School District,Superintendent,Richard Smith,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190,"PK,K,01,02,03,04,05,06,07,08"
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,Charter District,Charter School Leader,Caren Walker Gregory,10 Fenwood Road,,Boston,MA,02115,617-635-8450,617-635-8452,"09,10,11,12"
Egremont (non-op),00900000,Public School District,Superintendent,Beth Regulbuto,PO Box 339,,Sheffield,MA,01257,413-229-8734,413-229-2913,NA
Erving,00910000,Public School District,Superintendent,Jennifer Culkeen,PO Box 7,,Erving,MA,01344,413-423-3337,978-544-2253,"PK,K,01,02,03,04,05,06"
Essex (non-op),00920000,Public School District,Superintendent,Pamela Beaudoin,36 Lincoln Street,P. O. Box 1407,Manchester,MA,01944,978-526-4919,--,NA
Essex North Shore Agricultural and Technical School District,08170000,Public School District,Superintendent,Heidi Riccio,565 Maple Street,P.O. Box 346,Hathorne,MA,01937,978-304-4700,--,"09,10,11,12"
Everett,00930000,Public School District,Superintendent,William Hart,121 Vine Street,,Everett,MA,02149,617-389-7950,617-394-2408,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Excel Academy Charter (District),04100000,Charter District,Charter School Leader,Owen Stearns,58 Moore Street,,East Boston,MA,02128,617-874-4080,617-674-3436,"05,06,07,08,09,10,11,12"
Fairhaven,00940000,Public School District,Superintendent,Tara Kohler,128 Washington Street,,Fairhaven,MA,02719,508-979-4000,508-979-4149,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Fall River,00950000,Public School District,Superintendent,Maria Pontes,417 Rock Street,,Fall River,MA,02720,508-675-8420,508-675-8462,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Falmouth,00960000,Public School District,Superintendent,Lori Duerr,340 Teaticket Hwy,,East Falmouth,MA,02536,508-548-0151,508-457-9032,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Farmington River Reg,06620000,Public School District,Superintendent,Tim Lee,555 N Main Street,,Otis,MA,01253,413-269-4466,413-269-7659,"PK,K,01,02,03,04,05,06"
Fitchburg,00970000,Public School District,Superintendent,Jonathan Thompson,376 South Street,,Fitchburg,MA,01420,978-345-3200,978-348-2305,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Florida,00980000,Public School District,Superintendent,John Franzoni,56 North County Rd,,Florida,MA,01247,413-664-6023,413-663-3593,"PK,K,01,02,03,04,05,06,07,08"
Four Rivers Charter Public (District),04130000,Charter District,Charter School Leader,Jenni Manfredi,248 Colrain Road,,Greenfield,MA,01301,413-775-4577,413-775-4578,"07,08,09,10,11,12"
Foxborough,00990000,Public School District,Superintendent,Amy Berdos,60 South Street,C/O Igo Administration Building,Foxborough,MA,02035,508-543-1660,508-543-4793,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Foxborough Regional Charter (District),04460000,Charter District,Charter School Leader,Heidi Berkowitz,131 Central Street,35 Commercial Street,Foxborough,MA,02035,508-543-2508,--,"K,01,02,03,04,05,06,07,08,09,10,11,12"
